date,BTC,ETH,SOL,BNB,XRP,ADA,DOGE,SP500,NASDAQ,CSI300,HSI,NIKKEI,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,NFLX,AMD,INTC,V,JNJ,PFE,PG,GOLD,SILVER,OIL
2024-10-11,62445.08984375,2436.513427734375,145.3811492919922,572.8572387695312,0.5382969975471497,0.35118499398231506,0.11073300242424011,5815.02978515625,18342.939453125,3.8892645835876465,21251.98046875,39605.80078125,226.2765350341797,412.44580078125,162.5232696533203,188.82000732421875,588.1008911132812,134.7538604736328,217.8000030517578,72.27899932861328,167.88999938964844,23.559999465942383,275.3570251464844,155.4173583984375,26.776561737060547,165.71182250976562,2657.60009765625,31.520000457763672,75.55999755859375
2024-10-12,63193.0234375,2476.523193359375,146.5002899169922,576.4497680664062,0.5395600199699402,0.3532150089740753,0.11141599714756012,5815.02978515625,18342.939453125,3.8892645835876465,21251.98046875,39605.80078125,226.2765350341797,412.44580078125,162.5232696533203,188.82000732421875,588.1008911132812,134.7538604736328,217.8000030517578,72.27899932861328,167.88999938964844,23.559999465942383,275.3570251464844,155.4173583984375,26.776561737060547,165.71182250976562,2657.60009765625,31.520000457763672,75.55999755859375
2024-10-13,62851.375,2467.677001953125,147.5724334716797,571.8217163085938,0.5315399765968323,0.34803399443626404,0.11133600026369095,5815.02978515625,18342.939453125,3.8892645835876465,21251.98046875,39605.80078125,226.2765350341797,412.44580078125,162.5232696533203,188.82000732421875,588.1008911132812,134.7538604736328,217.8000030517578,72.27899932861328,167.88999938964844,23.559999465942383,275.3570251464844,155.4173583984375,26.776561737060547,165.71182250976562,2657.60009765625,31.520000457763672,75.55999755859375
2024-10-14,66046.125,2628.89990234375,157.44512939453125,588.9004516601562,0.5480210185050964,0.36388900876045227,0.11665400117635727,5859.85009765625,18502.689453125,3.9508748054504395,21092.869140625,39605.80078125,230.00555419921875,415.2395935058594,164.23573303222656,187.5399932861328,588.5693359375,138.0227508544922,219.16000366210938,71.30000305175781,165.27000427246094,23.440000534057617,278.171630859375,155.55210876464844,26.703102111816406,167.08718872070312,2647.800048828125,31.08300018310547,73.83000183105469
2024-10-15,67041.109375,2606.02197265625,154.7206268310547,594.189208984375,0.5414519906044006,0.3585270047187805,0.11752700060606003,5815.259765625,18315.58984375,3.8442795276641846,20318.7890625,39910.55078125,232.54127502441406,414.84326171875,164.7335205078125,187.69000244140625,584.4323120117188,131.55496215820312,219.57000732421875,70.5979995727539,156.63999938964844,22.65999984741211,276.7940979003906,157.9585418701172,27.033676147460938,168.11386108398438,2661.39990234375,31.527000427246094,70.58000183105469
2024-10-16,67612.71875,2611.10205078125,154.23422241210938,600.8178100585938,0.5480449795722961,0.352524995803833,0.12577299773693085,5842.47021484375,18367.080078125,3.819830894470215,20286.849609375,39180.30078125,230.4828338623047,412.2476501464844,164.43484497070312,186.88999938964844,574.9820556640625,135.67355346679688,221.3300018310547,70.19999694824219,156.1300048828125,22.309999465942383,284.9505310058594,158.13180541992188,27.244876861572266,166.96128845214844,2674.0,31.760000228881836,70.38999938964844
2024-10-17,67399.8359375,2604.2734375,150.31602478027344,592.0396118164062,0.5436580181121826,0.34303200244903564,0.12965799868106842,5841.47021484375,18373.609375,3.7777795791625977,20079.099609375,38911.19140625,230.8507843017578,412.84210205078125,162.21461486816406,187.52999877929688,575.12158203125,136.88311767578125,220.88999938964844,68.76499938964844,156.25,22.440000534057617,287.7948913574219,158.314697265625,26.877573013305664,166.86444091796875,2691.0,31.572999954223633,70.66999816894531
2024-10-18,68418.7890625,2641.55224609375,154.97593688964844,599.364990234375,0.5465409755706787,0.3507100045681,0.13721300661563873,5864.669921875,18489.55078125,3.9274041652679443,20804.109375,38981.75,233.68482971191406,414.2686767578125,162.70248413085938,188.99000549316406,574.6630249023438,137.9527587890625,220.6999969482422,76.38899993896484,155.97000122070312,22.770000457763672,288.0228271484375,158.94036865234375,26.83165740966797,166.87124633789062,2713.699951171875,33.03200149536133,69.22000122070312
2024-10-19,68362.734375,2648.656982421875,159.6393585205078,597.9749145507812,0.5442569851875305,0.35166099667549133,0.14452700316905975,5864.669921875,18489.55078125,3.9274041652679443,20804.109375,38981.75,233.68482971191406,414.2686767578125,162.70248413085938,188.99000549316406,574.6630249023438,137.9527587890625,220.6999969482422,76.38899993896484,155.97000122070312,22.770000457763672,288.0228271484375,158.94036865234375,26.83165740966797,166.87124633789062,2713.699951171875,33.03200149536133,69.22000122070312
2024-10-20,69001.703125,2746.364013671875,166.9398193359375,605.517822265625,0.547652006149292,0.3648410141468048,0.14208300411701202,5864.669921875,18489.55078125,3.9274041652679443,20804.109375,38981.75,233.68482971191406,414.2686767578125,162.70248413085938,188.99000549316406,574.6630249023438,137.9527587890625,220.6999969482422,76.38899993896484,155.97000122070312,22.770000457763672,288.0228271484375,158.94036865234375,26.83165740966797,166.87124633789062,2713.699951171875,33.03200149536133,69.22000122070312
2024-10-21,67367.8515625,2665.712158203125,166.2168731689453,598.8175659179688,0.5448629856109619,0.36095601320266724,0.14369000494480133,5853.97998046875,18540.009765625,3.9274041652679443,20478.4609375,38954.6015625,235.1565399169922,414.8829040527344,163.34963989257812,189.07000732421875,573.3571166992188,143.6608123779297,218.85000610351562,77.20700073242188,157.89999389648438,22.84000015258789,284.2865295410156,156.736083984375,26.56536293029785,165.17601013183594,2723.10009765625,33.86899948120117,70.55999755859375
2024-10-22,67361.40625,2620.197509765625,167.26014709472656,593.3606567382812,0.5333790183067322,0.36381998658180237,0.13950799405574799,5851.2001953125,18579.76953125,3.9508748054504395,20498.94921875,38411.9609375,234.54002380371094,423.5317077636719,164.41493225097656,189.6999969482422,580.1856689453125,143.5408477783203,217.97000122070312,76.42400360107422,154.08999633789062,22.399999618530273,282.2449035644531,157.33287048339844,26.482717514038086,165.3319091796875,2744.199951171875,34.83100128173828,72.08999633789062
2024-10-23,66432.1953125,2509.098876953125,170.9324951171875,582.473388671875,0.525210976600647,0.34861400723457336,0.138496994972229,5797.419921875,18276.650390625,3.965543746948242,20760.150390625,38104.859375,229.4685516357422,420.6487731933594,162.06529235839844,184.7100067138672,561.923095703125,139.51222229003906,213.64999389648438,74.92900085449219,152.91000366210938,21.979999542236328,281.2241516113281,159.6526641845703,26.50108528137207,165.21498107910156,2714.39990234375,33.63999938964844,70.7699966430664
2024-10-24,68161.0546875,2534.49853515625,177.1569366455078,594.15478515625,0.5317609906196594,0.34630998969078064,0.14198699593544006,5809.85986328125,18415.490234375,3.9225146770477295,20489.619140625,38143.2890625,229.27964782714844,420.7775573730469,162.00555419921875,186.3800048828125,566.0003051757812,140.3619384765625,260.4800109863281,75.45500183105469,153.44000244140625,22.34000015258789,280.68896484375,157.5446319580078,26.29906463623047,165.25396728515625,2734.89990234375,33.611000061035156,70.19000244140625
2024-10-25,66642.4140625,2435.93408203125,164.75689697265625,574.2536010742188,0.5019189715385437,0.3244119882583618,0.13101300597190857,5808.1201171875,18518.609375,3.9508748054504395,20590.150390625,37913.921875,230.1149444580078,424.1656799316406,164.5443572998047,187.8300018310547,571.453125,141.49154663085938,269.19000244140625,75.46800231933594,156.22999572753906,22.68000030517578,279.2122802734375,154.8590545654297,26.124597549438477,163.8900146484375,2740.89990234375,33.60300064086914,71.77999877929688
2024-10-26,67014.6953125,2479.603271484375,170.70596313476562,582.8060913085938,0.5127609968185425,0.3333500027656555,0.13735699653625488,5808.1201171875,18518.609375,3.9508748054504395,20590.150390625,37913.921875,230.1149444580078,424.1656799316406,164.5443572998047,187.8300018310547,571.453125,141.49154663085938,269.19000244140625,75.46800231933594,156.22999572753906,22.68000030517578,279.2122802734375,154.8590545654297,26.124597549438477,163.8900146484375,2740.89990234375,33.60300064086914,71.77999877929688
2024-10-27,67929.296875,2505.940673828125,176.5491943359375,588.7158203125,0.516381025314331,0.33987200260162354,0.14431199431419373,5808.1201171875,18518.609375,3.9508748054504395,20590.150390625,37913.921875,230.1149444580078,424.1656799316406,164.5443572998047,187.8300018310547,571.453125,141.49154663085938,269.19000244140625,75.46800231933594,156.22999572753906,22.68000030517578,279.2122802734375,154.8590545654297,26.124597549438477,163.8900146484375,2740.89990234375,33.60300064086914,71.77999877929688
2024-10-28,69907.7578125,2565.34814453125,178.1049041748047,600.5960693359375,0.5192270278930664,0.3437960147857666,0.1611499935388565,5823.52001953125,18567.189453125,3.956742525100708,20599.359375,38605.53125,232.0937957763672,422.6202392578125,165.9879913330078,188.38999938964844,576.3477783203125,140.47189331054688,262.510009765625,74.91200256347656,159.9199981689453,22.920000076293945,281.6502685546875,155.55210876464844,26.50108528137207,164.9422149658203,2742.89990234375,33.83000183105469,67.37999725341797
